EN2009d, length = 5324.37 s, percent_of_speech = 0.88, percent_of_noises = 0.47
noise: Tool_4134_3, start: 5123.0493 s end: 5127.5801 s, duration: 4.5309 s, snr: 3.48
noise: Gunshot_49_4, start: 5123.3082 s end: 5128.5332 s, duration: 5.2250 s, snr: 1.77
noise: Writing_12_0, start: 5155.8011 s end: 5161.3343 s, duration: 5.5333 s, snr: 3.29
noise: Writing_72_3, start: 5185.7669 s end: 5191.5921 s, duration: 5.8252 s, snr: 3.29
noise: Scissors_47_1, start: 5189.5435 s end: 5193.1770 s, duration: 3.6335 s, snr: 8.46
noise: Telephone_797_1, start: 5223.0367 s end: 5237.3563 s, duration: 14.3196 s, snr: 8.45
noise: Computer_406_3, start: 5242.0712 s end: 5266.0262 s, duration: 23.9550 s, snr: 5.62
noise: Computer_793_1, start: 5284.8036 s end: 5290.6811 s, duration: 5.8775 s, snr: 7.75
noise: Street_130_0, start: 5289.0248 s end: 5299.5678 s, duration: 10.5430 s, snr: 3.81
noise: Door_4329_3, start: 5290.6260 s end: 5295.0010 s, duration: 4.3750 s, snr: 5.80
